Paper,Lat,Long,Study,Site,Pathway,Mean_rate,errorbar_values,error_reported,sample_size,Wetland_type_reported,Wetland_type,Inc_temp,Inc_length_days,Depth_cm,Depth_representative,Salinity_ppt,Salinity_cat,dom_veg,method,labeled_substrate,subpathway,Potential
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.002,0.00075,SD,5,alpine wetland,Bog,14,50,20-Oct,15,NA,low,NA,"13C tracer, non-slurried incubation",NO3,Nitrate-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.007,0.0025,SD,5,alpine wetland,Bog,14,50,20-30,25,NA,low,NA,"13C tracer, non-slurried incubation",NO3,Nitrate-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.007,0.001,SD,5,alpine wetland,Bog,14,50,30-40,35,NA,low,NA,"13C tracer, non-slurried incubation",NO3,Nitrate-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.009,0.002,SD,5,alpine wetland,Bog,14,50,40-50,45,NA,low,NA,"13C tracer, non-slurried incubation",NO3,Nitrate-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.007,0.001,SD,5,alpine wetland,Bog,14,50,50-60,55,NA,low,NA,"13C tracer, non-slurried incubation",NO3,Nitrate-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.002,0.0005,SD,5,alpine wetland,Bog,14,50,60-70,65,NA,low,NA,"13C tracer, non-slurried incubation",NO3,Nitrate-dependent,YES
Xie et al 2020,33_56.25N, 102_49.74E,10,23,Anaerobic methane oxidation,0.002,0.00025,SD,5,alpine wetland,Bog,14,50,70-80,75,NA,low,NA,"13C tracer, non-slurried incubation",NO3,Nitrate-dependent,YES
Hu et al 2014,30_30.94N,120_2.73E,11,24,Anaerobic methane oxidation,0.0002,NA,NA,3,coastal wetland,Marsh,NA,1,20-30,25,NA,NA,NA,"13C tracer, soil slurry",NO2,Nitrite-dependent,YES
Hu et al 2014,30_15.29N,120_3.64E,11,25,Anaerobic methane oxidation,0.0007,NA,NA,3,urban wetland,Marsh,NA,1,20-30,25,NA,NA,NA,"13C tracer, soil slurry",NO2,Nitrite-dependent,YES
Hu et al 2014,30_30.94N,120_2.73E,11,24,Anaerobic methane oxidation,0.0055,NA,NA,3,coastal wetland,Marsh,NA,1,50-60,55,NA,NA,NA,"13C tracer, soil slurry",NO2,Nitrite-dependent,YES
Hu et al 2014,30_15.29N,120_3.64E,11,25,Anaerobic methane oxidation,0.005,NA,NA,3,urban wetland,Marsh,NA,1,50-60,55,NA,NA,NA,"13C tracer, soil slurry",NO2,Nitrite-dependent,YES
Hu et al 2014,30_20.4N,120_16.19E,11,26,Anaerobic methane oxidation,0.002,NA,NA,3,rice paddy field,Paddy,NA,1,50-60,55,NA,NA,Oryza sp.,"13C tracer, soil slurry",NO2,Nitrite-dependent,YES
Hu et al 2014,30_30.94N,120_2.73E,11,24,Anaerobic methane oxidation,0.005,NA,NA,3,coastal wetland,Marsh,NA,1,90-100,95,NA,NA,NA,"13C tracer, soil slurry",NO2,Nitrite-dependent,YES
Hu et al 2014,30_15.29N,120_3.64E,11,25,Anaerobic methane oxidation,0.004,NA,NA,3,urban wetland,Marsh,NA,1,90-100,95,NA,NA,NA,"13C tracer, soil slurry",NO2,Nitrite-dependent,YES
Hu et al 2014,30_20.4N,120_16.19E,11,26,Anaerobic methane oxidation,0.002,NA,NA,3,rice paddy field,Paddy,NA,1,90-100,95,NA,NA,Oryza sp.,"13C tracer, soil slurry",NO2,Nitrite-dependent,YES
An et al 2024,31_29N ,121_57E,13,28,Anaerobic methane oxidation,0.016,0.0032,SD,3,coastal wetland,Marsh,30,1,0-5,2.5,0.6,low,Bare mudflat,"13C tracer, soil slurry",Mn,Manganese-dependent,YES
